zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
60616,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.84,-87.62,Central,2.0,312,48433.0,11966.0,4.05,0.57,25198.0,21421.0,288100.0,44258.0,-87.646634,-87.592614,41.867432,41.827231,708,872,,,,,,,,,,
60614,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.92,-87.65,Central,2.0,312,66617.0,21040.0,3.17,0.29,37951.0,34850.0,489300.0,86215.0,-87.678322,-87.615956,41.935985,41.910785,773,872,,,,,,,,,,
19124,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.02,-75.09,Eastern,2.0,215,66691.0,13681.0,4.87,0.03,24872.0,22487.0,92100.0,28726.0,-75.127287,-75.061339,40.038293,39.995787,,,Phila,,,,,,,,,
19132,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.0,-75.17,Eastern,2.0,215,36268.0,16757.0,2.16,0.0,17675.0,14085.0,46600.0,24233.0,-75.192627,-75.149877,40.006139,39.986118,,,Phila,,,,,,,,,
02119,Standard,Roxbury,"Roxbury, MA",Roxbury,Suffolk County,MA,42.32,-71.08,Eastern,1.0,617,25346.0,15871.0,1.6,0.0,11048.0,10087.0,327900.0,27180.0,-71.102944,-71.066431,42.334144,42.311685,857,,Boston,,,,,,,,,
60622,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.9,-87.69,Central,1.0,773,52548.0,21418.0,2.45,0.01,26433.0,24124.0,412000.0,68923.0,-87.706903,-87.66601,41.918316,41.88872,,,,,,,,,,,,
60647,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.92,-87.7,Central,2.0,312,87291.0,21570.0,4.05,0.01,38453.0,34330.0,333000.0,51675.0,-87.727075,-87.670201,41.933618,41.902915,773,872,,,,,,,,,,
30309,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.8,-84.39,Eastern,2.0,678,21845.0,6391.0,3.42,0.04,16207.0,13730.0,288800.0,71854.0,-84.407849,-84.36857,33.818801,33.777831,404,,,,,,,,,,,
19122,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.98,-75.15,Eastern,0.9090909090909091,215,21653.0,17060.0,1.27,0.0,7427.0,6590.0,124900.0,23509.0,-75.159442,-75.131728,39.986424,39.968726,,,Phila,,,,,,,,,
02124,Standard,Dorchester Center,"Dorchester Center, MA",Dorchester Center,Suffolk County,MA,42.29,-71.07,Eastern,2.0,617,47783.0,15913.0,3.0,0.07,19053.0,17459.0,306500.0,48841.0,-71.09747,-71.046383,42.30243,42.267299,,,Boston,,,,Dorchester,Dorchestr Ctr,,,,
19102,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.953,-75.165,Eastern,0.6818181818181818,267,4705.0,24914.0,0.19,0.0,3513.0,3053.0,311600.0,76962.0,-75.16934,-75.161959,39.959815,39.945231,215,484,Mid City East,610,,,Middle City East,Phila,,,,
60621,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.64,Central,2.0,312,35912.0,9632.0,3.73,0.0,16904.0,12136.0,113900.0,19548.0,-87.654874,-87.62408,41.794665,41.757741,773,872,,,,,,,,,,
02131,Standard,Roslindale,"Roslindale, MA",Roslindale,Suffolk County,MA,42.28,-71.12,Eastern,2.0,617,29826.0,11505.0,2.59,0.0,12286.0,11482.0,355900.0,66735.0,-71.147775,-71.095759,42.302322,42.268321,,,Boston,,,,,,,,,
02128,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.37,-71.02,Eastern,2.0,617,40508.0,8352.0,4.85,1.14,15854.0,14651.0,290200.0,48704.0,-71.047381,-70.986053,42.397398,42.346799,857,,East Boston,,,,,,,,,
